ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.58,11.63,56.4,6.4,0.0
25.51,13.95,54.08,6.46,0.0
27.35,13.24,51.47,7.94,0.0
25.07,11.66,56.56,6.41,0.29
26.43,13.21,52.85,6.91,0.6
27.87,14.48,50.55,7.1,0.0
27.07,11.05,53.04,7.73,1.1
28.13,10.49,53.45,7.16,0.77
27.27,10.96,53.48,7.49,0.8
24.32,13.07,55.02,6.99,0.61
23.56,12.07,54.6,9.77,0.0
25.0,12.65,55.0,7.35,0.0
24.78,14.12,52.16,8.93,0.0
27.04,14.93,51.27,6.76,0.0
24.51,14.38,53.59,7.52,0.0
26.63,10.3,53.52,9.55,0.0
26.36,12.73,53.03,7.27,0.61
27.59,12.07,52.59,7.18,0.57
24.05,12.32,54.25,8.5,0.88
29.17,11.67,52.22,6.94,0.0
26.81,11.26,53.89,7.51,0.54
25.82,11.81,54.12,7.69,0.55
26.02,11.38,53.93,8.13,0.54
25.68,11.75,53.83,8.2,0.55
24.55,13.03,52.12,9.39,0.91
28.54,14.39,49.88,7.2,0.0
26.04,14.68,50.97,8.03,0.28
25.07,10.9,52.04,9.54,2.45
25.16,14.6,52.8,6.21,1.24
25.57,15.41,52.46,6.56,0.0
28.53,13.09,51.05,7.07,0.26
27.32,11.83,54.08,6.76,0.0
26.83,11.11,55.01,6.23,0.81
26.33,10.89,54.18,8.61,0.0
27.12,11.51,55.34,6.03,0.0
26.51,12.39,54.18,6.92,0.0
26.05,10.53,55.79,6.84,0.79
26.15,11.05,55.8,6.2,0.81
26.13,10.67,55.47,6.93,0.8
25.92,10.47,55.24,7.59,0.79
25.78,10.42,55.47,7.55,0.78
26.78,11.2,54.92,6.28,0.82
26.78,11.2,54.92,6.28,0.82
26.78,11.2,54.92,6.28,0.82
28.68,10.79,54.47,6.05,0.0
26.09,11.14,55.71,6.25,0.82
28.36,9.95,55.47,5.72,0.5
28.36,9.95,55.47,5.72,0.5
27.95,10.51,55.13,5.9,0.51
27.99,10.43,55.22,5.85,0.51
27.55,11.85,53.44,7.16,0.0
26.94,12.5,53.06,7.5,0.0
26.11,12.22,55.56,6.11,0.0
28.9,13.88,50.99,5.95,0.28
26.5,11.97,54.7,6.84,0.0
26.23,14.21,50.0,9.02,0.55
27.55,14.6,51.79,6.06,0.0
27.14,11.06,55.28,6.53,0.0
27.67,12.6,53.42,6.3,0.0
26.78,12.3,54.1,6.28,0.55
26.67,12.78,53.89,6.39,0.28
26.48,13.24,53.24,6.76,0.28
25.88,12.65,54.12,7.06,0.29
25.72,9.53,55.88,8.87,0.0
27.15,12.63,52.42,7.8,0.0
25.52,15.43,52.82,6.23,0.0
25.37,13.13,53.73,7.46,0.3
25.56,11.52,56.74,6.18,0.0
25.94,12.57,54.81,6.68,0.0
25.62,11.57,56.47,6.34,0.0
25.56,11.67,56.39,6.39,0.0
25.5,12.18,56.09,6.23,0.0
25.63,11.42,56.55,6.41,0.0
25.63,11.42,56.55,6.41,0.0
25.5,12.61,55.3,6.59,0.0
25.91,13.37,55.15,5.57,0.0
25.5,12.75,55.24,6.52,0.0
25.56,11.67,56.67,6.11,0.0
25.42,11.73,56.42,6.15,0.28
27.65,10.12,55.06,7.16,0.0
26.36,12.14,53.49,7.49,0.52
27.18,10.77,55.13,6.67,0.26
27.78,9.9,55.31,7.0,0.0
24.52,12.95,52.34,9.09,1.1
27.25,9.7,54.5,8.08,0.46
25.94,14.41,51.3,7.49,0.86
28.57,9.76,54.52,7.14,0.0
26.67,10.24,53.57,9.05,0.48
26.77,11.02,53.02,8.4,0.79
